Sentiment,Rating,Review Text
neutral,3,high hopes dress really wanted work initially ordered petite small usual size found outrageously small small fact could zip reordered petite medium ok overall top half comfortable fit nicely bottom half tight layer several somewhat cheap net layers imo major design flaw net layer sewn directly zipper c
positive,5,love love love jumpsuit fun flirty fabulous every time wear get nothing great compliments
positive,5,shirt flattering due adjustable front tie perfect length wear leggings sleeveless pairs well cardigan love shirt
negative,2,love tracy reese dresses one petite feet tall usually wear p brand dress pretty package lot dress skirt long full overwhelmed small frame stranger alterations shortening narrowing skirt would take away embellishment garment love color idea style work returned dress
positive,5,aded basket hte last mintue see would look like person store pick went teh darkler color pale hte color really gorgeous turns mathced everythiing trying prefectly little baggy hte xs hte msallet size bummer petite decided jkeep though said matvehd everything ejans pants skirts waas trying kept oops
positive,4,ordered carbon store pick ton stuff always try used top pair skirts pants everything went color really nice charcoal shimmer went well pencil skirts flare pants etc compaint bit big sleeves long doesnt go petite also bit loose xxs kept wil ldecide later since light color already sold hte smallest size
positive,5,love dress usually get xs runs little snug bust ordered size flattering feminine usual retailer flair style
positive,5,im lbs ordered petite make sure length wasnt long typically wear xs regular retailer dresses youre less busty b cup smaller petite fit perfectly snug tight love could dress party work love tulle longer fabric underneath
neutral,3,dress runs small esp zipper area runs ordered sp typically fits tight material top looks feels cheap even pulling cause rip fabric pretty disappointed going christmas dress year needless say going back
positive,5,find reliant reviews written savvy shoppers past right estimation product case dressif reveiwsi doubt would even tried dress beautifully made lined reminiscent old retailer quality lined solid periwinklecolored fabric matches outer fabric print tts formfitting falls knee rid
positive,5,bought black xs go larkspur midi dress didnt bother lining skirt portion grrrrrrrrrrr stats xs fit smoothly around chest flowy around lower half would say running big straps pretty could easily nightwear im came knees
neutral,3,nice choice holiday gatherings like length grazes knee conservative enough office related gatherings size small fit well usually size small bust opinion runs small larger busts definitely size perhaps waist big problem dress quality fabrics terrible delicate netting type fabric top layer skirt got stuck zip
positive,4,took package wanted fit badly could tell put wouldnt hourglass figure straight waist way small body shape even sized could tell would still tight waist roomy hips said really nice sturdy linenlike fabric pretty color well made hope make someone happy
